Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
"As a module leader, I want to be able to use the app to track/record students grades for midterms and projects",SOKO-28,10027,Story,To Do,SOKO,SOKO,software,Olan Healy,63457716db32d9ce175ca512,,Medium,,,,Craig Phayer,6346b9f3cba49e290971838a,Craig Phayer,6346b9f3cba49e290971838a,24/Nov/22 3:24 PM,24/Nov/22 3:24 PM,24/Nov/22 3:37 PM,,,0,,,Craig Phayer,6346b9f3cba49e290971838a,,,,,,,,,,,,,,,{},,,,,,,,,0|i0005z:,,CS4178 Q1 Sprint,,,,,,,,,To Do
"As a UL student, I want to be able to see open times for carparks and buildings and also be able to see timetables for rooms and labs",SOKO-27,10026,Story,To Do,SOKO,SOKO,software,Olan Healy,63457716db32d9ce175ca512,,Medium,,,,Craig Phayer,6346b9f3cba49e290971838a,Craig Phayer,6346b9f3cba49e290971838a,24/Nov/22 3:21 PM,24/Nov/22 3:21 PM,24/Nov/22 3:38 PM,,,0,,,Craig Phayer,6346b9f3cba49e290971838a,,,,,,,,,,,,,,,{},,,,,,,,,0|i0005r:,,CS4178 Q1 Sprint,,,,,,,,,To Do
"As an event organizer, I want to improve user retention by a specific margin by implementing a feedback system",SOKO-26,10025,Story,To Do,SOKO,SOKO,software,Olan Healy,63457716db32d9ce175ca512,,Medium,,,,Craig Phayer,6346b9f3cba49e290971838a,Craig Phayer,6346b9f3cba49e290971838a,24/Nov/22 3:03 PM,24/Nov/22 3:17 PM,24/Nov/22 3:38 PM,,,0,,,Craig Phayer,6346b9f3cba49e290971838a,,,,,,,,,,,,,,,{},,,,,,,,,0|i0005j:,,CS4178 Q1 Sprint,,,,,,,,,To Do
"As a event organiser, I want to be able to see the amount of downloads of the app so that we can decide in the future if the app was worthwhile based on downloads",SOKO-25,10024,Story,To Do,SOKO,SOKO,software,Olan Healy,63457716db32d9ce175ca512,,Medium,,,,Olan Healy,63457716db32d9ce175ca512,Olan Healy,63457716db32d9ce175ca512,24/Nov/22 12:44 PM,24/Nov/22 12:46 PM,24/Nov/22 3:38 PM,,,0,,,Olan Healy,63457716db32d9ce175ca512,,,,,,,,,,,,,,,{},,,,,,,,,0|i0005b:,,CS4178 Q1 Sprint,,,,,,,,,To Do
"As a visitor, I want to be able to see if particular activities are busy so that I can choose whether to attend or not",SOKO-24,10023,Story,To Do,SOKO,SOKO,software,Olan Healy,63457716db32d9ce175ca512,,Medium,,,,Olan Healy,63457716db32d9ce175ca512,Olan Healy,63457716db32d9ce175ca512,24/Nov/22 12:43 PM,24/Nov/22 12:46 PM,24/Nov/22 3:38 PM,,,0,,,Olan Healy,63457716db32d9ce175ca512,,,,,,,,,,,,,,,{},,,,,,,,,0|i00053:,,CS4178 Q1 Sprint,,,,,,,,,To Do
"As a visitor, I want to be able to book a meeting with a course director on the app so that I can gather more information about a particular course",SOKO-23,10022,Story,To Do,SOKO,SOKO,software,Olan Healy,63457716db32d9ce175ca512,,Medium,,,,Olan Healy,63457716db32d9ce175ca512,Olan Healy,63457716db32d9ce175ca512,24/Nov/22 12:42 PM,24/Nov/22 12:46 PM,24/Nov/22 3:38 PM,,,0,,,Olan Healy,63457716db32d9ce175ca512,,,,,,,,,,,,,,,{},,,,,,,,,0|i0004v:,,CS4178 Q1 Sprint,,,,,,,,,To Do
"As an event organiser, I want to be able to clearly see where different restaurants are on the map so that visitor's know where different restaurants are available to eat",SOKO-22,10021,Story,To Do,SOKO,SOKO,software,Olan Healy,63457716db32d9ce175ca512,,Medium,,,,Olan Healy,63457716db32d9ce175ca512,Olan Healy,63457716db32d9ce175ca512,24/Nov/22 12:39 PM,24/Nov/22 12:45 PM,24/Nov/22 3:38 PM,,,0,,,Olan Healy,63457716db32d9ce175ca512,,,,,,,,,,,,,,,{},,,,,,,,,0|i0004n:,,CS4178 Q1 Sprint,,,,,,,,,To Do
"As a visitor, I want to be able to see available parking spaces on the app so that I can know if I can get a space easily on campus grounds for the open day",SOKO-21,10020,Story,To Do,SOKO,SOKO,software,Olan Healy,63457716db32d9ce175ca512,,Medium,,,,Olan Healy,63457716db32d9ce175ca512,Olan Healy,63457716db32d9ce175ca512,24/Nov/22 12:37 PM,24/Nov/22 12:45 PM,24/Nov/22 3:15 PM,,,0,,,Olan Healy,63457716db32d9ce175ca512,,,,,,,,,,,,,,,{},,,,,,,,,0|i0004f:,,CS4178 Q1 Sprint,,,,,,,,,To Do
"As a event organiser, I want to be able to notify visitor's where potential free goodies may be given out on the app so that it will help improve people's enjoyment of the open day",SOKO-20,10019,Story,To Do,SOKO,SOKO,software,Olan Healy,63457716db32d9ce175ca512,,Medium,,,,Olan Healy,63457716db32d9ce175ca512,Olan Healy,63457716db32d9ce175ca512,24/Nov/22 12:36 PM,24/Nov/22 12:45 PM,24/Nov/22 3:38 PM,,,0,,,Olan Healy,63457716db32d9ce175ca512,,,,,,,,,,,,,,,{},,,,,,,,,0|i00047:,,CS4178 Q1 Sprint,,,,,,,,,To Do
"As a maintenance worker, I want to be able to be notified on the app where assistance may be needed so that I can help aid the smooth running of the open day",SOKO-19,10018,Story,To Do,SOKO,SOKO,software,Olan Healy,63457716db32d9ce175ca512,,Medium,,,,Olan Healy,63457716db32d9ce175ca512,Olan Healy,63457716db32d9ce175ca512,24/Nov/22 12:34 PM,24/Nov/22 12:45 PM,24/Nov/22 3:38 PM,,,0,,,Olan Healy,63457716db32d9ce175ca512,,,,,,,,,,,,,,,{},,,,,,,,,0|i0003z:,,CS4178 Q1 Sprint,,,,,,,,,To Do
